schemaname,tablename,indexname,idx_scan
public,accounts,accounts_pkey,0
public,agent_execution_details,agent_execution_details_pkey,0
public,agent_execution_details,idx_agent_exec_details_model,0
public,agent_execution_details,idx_agent_exec_details_tool,0
public,agent_execution_details,idx_agent_exec_details_trace_seq,0
public,agent_execution_details,idx_agent_exec_details_trace_type,0
public,agent_execution_details,idx_agent_execution_details_fallback,0
public,agent_execution_summary,agent_execution_summary_pkey,0
public,agent_execution_summary,agent_execution_summary_trace_id_key,0
public,agent_execution_summary,idx_agent_exec_summary_agent,0
public,agent_execution_summary,idx_agent_exec_summary_session,0
public,agent_execution_summary,idx_agent_exec_summary_trace,0
public,agent_tasks,agent_tasks_pkey,0
public,agent_tasks,idx_agent_tasks_parent_task_id,0
public,agent_tasks,idx_agent_tasks_session_id,0
public,agent_tasks,idx_agent_tasks_user_id,0
public,agent_versions,agent_versions_pkey,0
public,agent_versions,idx_agent_versions_agent_id,0
public,agent_versions,idx_agent_versions_user_id,0
public,agent_workspace,agent_workspace_pkey,0
public,agent_workspace,idx_agent_workspace_agent_id,0
public,agent_workspace,idx_agent_workspace_user_id,0
public,agents,agents_pkey,0
public,agents,idx_agents_user_id,0
public,ai_rag_qa_dataset,ai_rag_qa_dataset_pkey,0
public,api_keys,api_keys_api_key_key,0
public,api_keys,api_keys_pkey,0
public,auth_settings,auth_settings_pkey,0
public,container_templates,container_templates_name_key,0
public,container_templates,container_templates_pkey,0
public,container_templates,idx_container_templates_created_at,0
public,container_templates,idx_container_templates_created_by,0
public,container_templates,idx_container_templates_enabled,0
public,container_templates,idx_container_templates_is_default,0
public,container_templates,idx_container_templates_sort_order,0
public,container_templates,idx_container_templates_type,0
public,container_templates,idx_container_templates_type_enabled_default,0
public,container_templates,idx_container_templates_unique_default,0
public,context,context_pkey,0
public,context,idx_context_session_id,0
public,document_unit,document_unit_pkey,0
public,file_detail,file_detail_pkey,0
public,file_detail,idx_file_detail_current_embedding_page,0
public,file_detail,idx_file_detail_current_ocr_page,0
public,file_detail,idx_file_detail_current_page,0
public,file_detail,idx_file_detail_embedding_progress,0
public,file_detail,idx_file_detail_ocr_progress,0
public,file_detail,idx_file_detail_progress,0
public,messages,idx_messages_session_id,0
public,messages,messages_pkey,0
public,models,idx_models_provider_id,0
public,models,idx_models_user_id,0
public,models,models_pkey,0
public,orders,orders_order_no_key,0
public,orders,orders_pkey,0
public,products,products_pkey,0
public,providers,idx_providers_user_id,0
public,providers,providers_pkey,0
public,rag_version_documents,rag_version_documents_pkey,0
public,rag_version_files,rag_version_files_pkey,0
public,rag_versions,rag_versions_pkey,0
public,rules,rules_pkey,0
public,scheduled_tasks,idx_scheduled_tasks_agent_id,0
public,scheduled_tasks,idx_scheduled_tasks_session_id,0
public,scheduled_tasks,idx_scheduled_tasks_user_id,0
public,scheduled_tasks,scheduled_tasks_pkey,0
public,sessions,idx_sessions_agent_id,0
public,sessions,idx_sessions_user_id,0
public,sessions,sessions_pkey,0
public,tool_versions,tool_versions_pkey,0
public,tools,tools_pkey,0
public,usage_records,usage_records_pkey,0
public,user_containers,user_containers_pkey,0
public,user_rag_documents,user_rag_documents_pkey,0
public,user_rag_files,user_rag_files_pkey,0
public,user_rags,user_rags_pkey,0
public,user_settings,user_settings_pkey,0
public,user_settings,user_settings_user_id_key,0
public,user_tools,user_tools_pkey,0
